t_ms,pwm,count
0,200,0
10,200,-8
20,200,-25
30,200,-49
40,200,-79
50,200,-109
60,200,-145
70,200,-184
80,200,-226
90,200,-264
100,200,-309
110,200,-355
120,200,-403
130,200,-446
140,200,-496
150,200,-546
160,200,-597
171,200,-649
180,200,-696
190,200,-749
200,200,-802
210,200,-856
220,200,-905
230,200,-959
240,200,-1014
250,200,-1069
260,200,-1119
270,200,-1174
280,200,-1230
290,200,-1286
300,200,-1337
310,200,-1393
320,200,-1450
330,200,-1506
340,200,-1563
350,200,-1614
360,200,-1671
370,200,-1728
380,200,-1785
390,200,-1837
400,200,-1894
410,200,-1951
420,200,-2008
430,200,-2060
440,200,-2118
450,200,-2175
460,200,-2232
470,200,-2284
480,200,-2342
490,200,-2399
500,200,-2457
510,200,-2514
520,200,-2566
530,200,-2624
540,200,-2681
550,200,-2739
560,200,-2791
570,200,-2849
580,200,-2906
590,200,-2964
600,200,-3016
610,200,-3074
620,200,-3132
630,200,-3190
640,200,-3241
650,200,-3299
660,200,-3357
670,200,-3415
680,200,-3472
690,200,-3524
700,200,-3582
710,200,-3640
720,200,-3698
730,200,-3750
740,200,-3808
750,200,-3865
760,200,-3923
770,200,-3975
780,200,-4033
790,200,-4091
800,200,-4149
811,200,-4206
820,200,-4258
830,200,-4316
840,200,-4374
850,200,-4432
860,200,-4484
870,200,-4542
880,200,-4599
890,200,-4657
900,200,-4709
910,200,-4767
920,200,-4825
930,200,-4883
940,200,-4935
950,200,-4993
960,200,-5050
970,200,-5108
980,200,-5166
990,200,-5218
1000,200,-5276
1010,200,-5334
1020,200,-5392
1030,200,-5444
1040,200,-5501
1050,200,-5559
1060,200,-5617
1070,200,-5669
1080,200,-5727
1090,200,-5785
1100,200,-5843
1110,200,-5895
1120,200,-5953
1130,200,-6010
1140,200,-6068
1150,200,-6126
1160,200,-6178
1170,200,-6236
1180,200,-6294
1190,200,-6352
1200,200,-6404
1210,200,-6461
1220,200,-6519
1230,200,-6577
1240,200,-6629
1250,200,-6687
1260,200,-6745
1270,200,-6803
1280,200,-6855
1290,200,-6913
1300,200,-6970
1310,200,-7028
1320,200,-7086
1330,200,-7138
1340,200,-7196
1350,200,-7254
1360,200,-7312
1370,200,-7364
1380,200,-7422
1390,200,-7479
1400,200,-7537
1410,200,-7589
1420,200,-7647
1430,200,-7705
1440,200,-7763
1451,200,-7821
1460,200,-7873
1470,200,-7931
1480,200,-7988
1490,200,-8046
1500,200,-8098
1510,200,-8156
1520,200,-8214
1530,200,-8272
1540,200,-8324
1550,200,-8382
1560,200,-8440
1570,200,-8497
1580,200,-8549
1590,200,-8607
1600,200,-8665
1610,200,-8723
1620,200,-8781
1630,200,-8833
1640,200,-8891
1650,200,-8948
1660,200,-9006
