t_ms,pwm,count
0,150,0
10,150,-4
20,150,-16
30,150,-35
40,150,-57
50,150,-81
60,150,-109
70,150,-140
80,150,-174
90,150,-205
100,150,-242
110,150,-281
120,150,-321
130,150,-358
140,150,-400
150,150,-443
160,150,-487
171,150,-532
180,150,-573
190,150,-620
200,150,-667
210,150,-715
220,150,-758
230,150,-807
240,150,-856
250,150,-906
260,150,-951
270,150,-1002
280,150,-1053
290,150,-1104
300,150,-1150
310,150,-1202
320,150,-1254
330,150,-1306
340,150,-1359
350,150,-1406
360,150,-1459
370,150,-1512
380,150,-1565
390,150,-1613
400,150,-1667
410,150,-1721
420,150,-1775
430,150,-1824
440,150,-1878
450,150,-1932
460,150,-1986
470,150,-2035
480,150,-2090
490,150,-2144
500,150,-2199
510,150,-2253
520,150,-2302
530,150,-2357
540,150,-2412
550,150,-2466
560,150,-2516
570,150,-2571
580,150,-2625
590,150,-2680
600,150,-2730
610,150,-2785
620,150,-2840
630,150,-2895
640,150,-2944
650,150,-2999
660,150,-3054
670,150,-3109
680,150,-3164
690,150,-3214
700,150,-3269
710,150,-3324
720,150,-3379
730,150,-3429
740,150,-3484
750,150,-3539
760,150,-3594
770,150,-3644
780,150,-3699
790,150,-3754
800,150,-3810
811,150,-3865
820,150,-3914
830,150,-3970
840,150,-4025
850,150,-4080
860,150,-4130
870,150,-4185
880,150,-4240
890,150,-4296
900,150,-4345
910,150,-4400
920,150,-4456
930,150,-4511
940,150,-4561
950,150,-4616
960,150,-4671
970,150,-4727
980,150,-4782
990,150,-4832
1000,150,-4887
1010,150,-4942
1020,150,-4997
1030,150,-5047
1040,150,-5103
1050,150,-5158
1060,150,-5213
1070,150,-5263
1080,150,-5318
1090,150,-5373
1100,150,-5428
1110,150,-5478
1120,150,-5534
1130,150,-5589
1140,150,-5644
1150,150,-5700
1160,150,-5749
1170,150,-5804
1180,150,-5860
1190,150,-5915
1200,150,-5965
1210,150,-6020
1220,150,-6075
1230,150,-6131
1240,150,-6180
1250,150,-6236
1260,150,-6291
1270,150,-6346
1280,150,-6396
1290,150,-6451
1300,150,-6506
1310,150,-6562
1320,150,-6617
1330,150,-6667
1340,150,-6722
1350,150,-6778
1360,150,-6833
1370,150,-6882
1380,150,-6938
1390,150,-6993
1400,150,-7048
1410,150,-7098
1420,150,-7153
1430,150,-7209
1440,150,-7264
1451,150,-7319
1460,150,-7369
1470,150,-7424
1480,150,-7480
1490,150,-7535
1500,150,-7585
1510,150,-7640
1520,150,-7695
1530,150,-7750
1540,150,-7800
1550,150,-7856
1560,150,-7911
1570,150,-7966
1580,150,-8016
1590,150,-8071
1600,150,-8127
1610,150,-8182
1620,150,-8237
1630,150,-8287
1640,150,-8342
1650,150,-8397
1660,150,-8453
1670,150,-8502
1680,150,-8558
1690,150,-8613
