t_ms,pwm,count
0,230,-1
10,230,-9
20,230,-28
30,230,-56
40,230,-89
50,230,-123
60,230,-165
70,230,-209
80,230,-255
90,230,-298
100,230,-347
110,230,-398
120,230,-449
130,230,-496
140,230,-549
150,230,-603
160,230,-658
171,230,-713
180,230,-763
190,230,-818
200,230,-874
210,230,-931
220,230,-982
230,230,-1039
240,230,-1096
250,230,-1153
260,230,-1205
270,230,-1263
280,230,-1320
290,230,-1378
300,230,-1430
310,230,-1489
320,230,-1547
330,230,-1605
340,230,-1663
350,230,-1716
360,230,-1774
370,230,-1833
380,230,-1891
390,230,-1944
400,230,-2002
410,230,-2061
420,230,-2119
430,230,-2172
440,230,-2231
450,230,-2289
460,230,-2348
470,230,-2401
480,230,-2460
490,230,-2518
500,230,-2577
510,230,-2636
520,230,-2688
530,230,-2747
540,230,-2806
550,230,-2865
560,230,-2918
570,230,-2976
580,230,-3035
590,230,-3094
600,230,-3147
610,230,-3205
620,230,-3264
630,230,-3323
640,230,-3376
650,230,-3435
660,230,-3493
670,230,-3552
680,230,-3611
690,230,-3664
700,230,-3723
710,230,-3782
720,230,-3840
730,230,-3893
740,230,-3952
750,230,-4011
760,230,-4070
770,230,-4123
780,230,-4181
790,230,-4240
800,230,-4299
811,230,-4358
820,230,-4411
830,230,-4470
840,230,-4528
850,230,-4587
860,230,-4640
870,230,-4699
880,230,-4758
890,230,-4816
900,230,-4869
910,230,-4928
920,230,-4987
930,230,-5046
940,230,-5099
950,230,-5157
960,230,-5216
970,230,-5275
980,230,-5334
990,230,-5387
1000,230,-5446
1010,230,-5504
1020,230,-5563
1030,230,-5616
1040,230,-5675
1050,230,-5734
1060,230,-5792
1070,230,-5845
1080,230,-5904
1090,230,-5963
1100,230,-6022
1110,230,-6075
1120,230,-6133
1130,230,-6192
1140,230,-6251
1150,230,-6310
1160,230,-6363
1170,230,-6421
1180,230,-6480
1190,230,-6539
1200,230,-6592
1210,230,-6651
1220,230,-6710
1230,230,-6769
1240,230,-6821
1250,230,-6880
1260,230,-6939
1270,230,-6998
1280,230,-7051
1290,230,-7110
1300,230,-7168
1310,230,-7227
1320,230,-7286
1330,230,-7339
1340,230,-7398
1350,230,-7456
1360,230,-7515
1370,230,-7568
1380,230,-7627
1390,230,-7686
1400,230,-7745
1410,230,-7798
1420,230,-7856
1430,230,-7915
1440,230,-7974
1451,230,-8033
1460,230,-8086
1470,230,-8144
1480,230,-8203
1490,230,-8262
1500,230,-8315
1510,230,-8374
1520,230,-8432
1530,230,-8491
1540,230,-8544
1550,230,-8603
1560,230,-8662
1570,230,-8721
1580,230,-8773
1590,230,-8832
1600,230,-8891
1610,230,-8950
1620,230,-9009
1630,230,-9061
1640,230,-9120
1650,230,-9179
1660,230,-9238
1670,230,-9291
1680,230,-9350
1690,230,-9409
1700,230,-9467
1710,230,-9520
1720,230,-9579
1730,230,-9638
1740,230,-9697
1750,230,-9750
1760,230,-9808
1770,230,-9867
1780,230,-9926
1790,230,-9985
1800,230,-10037
1810,230,-10096
1820,230,-10155
1830,230,-10214
1840,230,-10267
1850,230,-10325
1860,230,-10384
1870,230,-10443
1880,230,-10496
1890,230,-10555
1900,230,-10614
1910,230,-10672
1920,230,-10725
1930,230,-10784
1940,230,-10843
1950,230,-10902
1960,230,-10960
1970,230,-11013
1980,230,-11072
1990,230,-11131
2000,0,-11190
2010,0,-11243
2020,0,-11300
2030,0,-11358
2040,0,-11415
2050,0,-11466
2060,0,-11523
2070,0,-11578
2080,0,-11633
2091,0,-11688
2100,0,-11737
2110,0,-11791
2120,0,-11844
2130,0,-11897
2140,0,-11945
2150,0,-11997
2160,0,-12048
2170,0,-12099
2180,0,-12145
2190,0,-12195
2200,0,-12245
2210,0,-12294
2220,0,-12338
2230,0,-12387
2240,0,-12435
2250,0,-12483
2260,0,-12530
2270,0,-12572
2280,0,-12618
2290,0,-12664
2300,0,-12710
