t_ms,pwm,count
0,150,0
10,150,-3
20,150,-14
30,150,-30
40,150,-51
50,150,-73
60,150,-99
70,150,-128
80,150,-160
90,150,-190
100,150,-225
110,150,-261
120,150,-299
130,150,-335
140,150,-375
150,150,-416
160,150,-459
171,150,-502
180,150,-542
190,150,-587
200,150,-633
210,150,-679
220,150,-721
230,150,-769
240,150,-817
250,150,-865
260,150,-909
270,150,-958
280,150,-1008
290,150,-1058
300,150,-1103
310,150,-1154
320,150,-1205
330,150,-1256
340,150,-1307
350,150,-1354
360,150,-1406
370,150,-1458
380,150,-1510
390,150,-1557
400,150,-1609
410,150,-1662
420,150,-1715
430,150,-1763
440,150,-1816
450,150,-1869
460,150,-1922
470,150,-1971
480,150,-2024
490,150,-2077
500,150,-2131
510,150,-2185
520,150,-2233
530,150,-2287
540,150,-2341
550,150,-2395
560,150,-2444
570,150,-2498
580,150,-2552
590,150,-2606
600,150,-2655
610,150,-2709
620,150,-2764
630,150,-2818
640,150,-2867
650,150,-2921
660,150,-2976
670,150,-3030
680,150,-3085
690,150,-3134
700,150,-3188
710,150,-3243
720,150,-3297
730,150,-3346
740,150,-3401
750,150,-3455
760,150,-3510
770,150,-3559
780,150,-3614
790,150,-3669
800,150,-3723
811,150,-3778
820,150,-3827
830,150,-3882
840,150,-3937
850,150,-3991
860,150,-4041
870,150,-4096
880,150,-4150
890,150,-4205
900,150,-4254
910,150,-4309
920,150,-4364
930,150,-4418
940,150,-4468
950,150,-4522
960,150,-4577
970,150,-4632
980,150,-4687
990,150,-4736
1000,150,-4791
1010,150,-4846
1020,150,-4901
1030,150,-4950
1040,150,-5005
1050,150,-5060
1060,150,-5115
1070,150,-5164
1080,150,-5219
1090,150,-5273
1100,150,-5328
1110,150,-5378
1120,150,-5432
1130,150,-5487
1140,150,-5542
1150,150,-5597
1160,150,-5647
1170,150,-5701
1180,150,-5756
1190,150,-5811
1200,150,-5860
1210,150,-5915
1220,150,-5970
1230,150,-6025
1240,150,-6074
1250,150,-6129
1260,150,-6184
1270,150,-6239
1280,150,-6288
1290,150,-6343
1300,150,-6398
1310,150,-6453
1320,150,-6508
1330,150,-6557
1340,150,-6612
1350,150,-6667
1360,150,-6721
1370,150,-6771
1380,150,-6826
1390,150,-6881
1400,150,-6936
1410,150,-6985
1420,150,-7040
1430,150,-7095
1440,150,-7149
1451,150,-7204
1460,150,-7254
1470,150,-7308
1480,150,-7363
1490,150,-7418
1500,150,-7468
1510,150,-7522
1520,150,-7577
1530,150,-7632
1540,150,-7682
1550,150,-7737
1560,150,-7791
1570,150,-7846
1580,150,-7896
1590,150,-7951
1600,150,-8005
1610,150,-8060
1620,150,-8115
1630,150,-8164
1640,150,-8219
1650,150,-8274
1660,150,-8329
1670,150,-8378
1680,150,-8433
1690,150,-8488
1700,150,-8543
1710,150,-8592
1720,150,-8647
1730,150,-8702
1740,150,-8757
1750,150,-8806
1760,150,-8861
1770,150,-8916
1780,150,-8971
1790,150,-9026
1800,150,-9075
1810,150,-9130
1820,150,-9185
1830,150,-9240
1840,150,-9290
1850,150,-9344
1860,150,-9399
1870,150,-9454
1880,150,-9504
1890,150,-9558
1900,150,-9613
1910,150,-9668
1920,150,-9718
1930,150,-9772
1940,150,-9827
1950,150,-9882
1960,150,-9937
1970,150,-9987
1980,150,-10041
1990,150,-10096
2000,0,-10151
2010,0,-10200
2020,0,-10255
2030,0,-10308
2040,0,-10362
2050,0,-10409
2060,0,-10461
2070,0,-10513
2080,0,-10564
2091,0,-10615
2100,0,-10660
2110,0,-10710
2120,0,-10760
2130,0,-10809
2140,0,-10853
2150,0,-10901
2160,0,-10948
2170,0,-10995
2180,0,-11038
2190,0,-11084
2200,0,-11130
2210,0,-11175
2220,0,-11216
2230,0,-11260
2240,0,-11304
2250,0,-11348
2260,0,-11391
2270,0,-11430
2280,0,-11472
2290,0,-11514
2300,0,-11556
2310,0,-11593
2320,0,-11634
2330,0,-11674
2340,0,-11714
2350,0,-11749
2360,0,-11788
2370,0,-11827
2380,0,-11865
2390,0,-11900
2400,0,-11937
2410,0,-11974
2420,0,-12011
2430,0,-12047
2440,0,-12079
2450,0,-12115
2460,0,-12150
2470,0,-12185
2480,0,-12216
2490,0,-12249
2500,0,-12283
2510,0,-12316
2520,0,-12346
2530,0,-12378
2540,0,-12410
2550,0,-12442
2560,0,-12470
2570,0,-12501
2580,0,-12532
2590,0,-12562
2600,0,-12591
2610,0,-12618
2620,0,-12647
2630,0,-12676
2640,0,-12704
2650,0,-12730
2660,0,-12757
2670,0,-12785
2680,0,-12811
2690,0,-12835
2700,0,-12862
2710,0,-12888
2720,0,-12913
2731,0,-12938
2740,0,-12961
2750,0,-12985
2760,0,-13010
2770,0,-13033
2780,0,-13055
2790,0,-13078
2800,0,-13101
2810,0,-13123
2820,0,-13143
2830,0,-13165
2840,0,-13187
2850,0,-13208
2860,0,-13227
2870,0,-13247
2880,0,-13268
2890,0,-13287
2900,0,-13307
2910,0,-13324
2920,0,-13344
2930,0,-13362
2940,0,-13381
2950,0,-13397
2960,0,-13415
2970,0,-13432
2980,0,-13449
2990,0,-13464
3000,0,-13481
3010,0,-13497
3020,0,-13513
3030,0,-13527
3040,0,-13543
3050,0,-13558
3060,0,-13572
3070,0,-13587
3080,0,-13600
3090,0,-13613
3100,0,-13627
3110,0,-13640
3120,0,-13652
3130,0,-13665
3140,0,-13677
3150,0,-13690
3160,0,-13700
3170,0,-13712
3180,0,-13723
3190,0,-13734
3200,0,-13744
3210,0,-13755
3220,0,-13765
3230,0,-13775
3240,0,-13785
3250,0,-13793
3260,0,-13802
3270,0,-13811
3280,0,-13820
3290,0,-13827
3300,0,-13835
3310,0,-13843
3320,0,-13851
3330,0,-13857
3340,0,-13864
3350,0,-13871
3360,0,-13878
3371,0,-13884
3380,0,-13889
3390,0,-13895
3400,0,-13901
3410,0,-13906
3420,0,-13910
3430,0,-13915
3440,0,-13920
3450,0,-13924
3460,0,-13927
3470,0,-13931
3480,0,-13935
3490,0,-13938
3500,0,-13941
3510,0,-13943
3520,0,-13946
3530,0,-13948
3540,0,-13950
3550,0,-13951
3560,0,-13953
3570,0,-13954
3580,0,-13955
3590,0,-13955
3600,0,-13955
3610,0,-13956
3620,0,-13956
3630,0,-13957
3640,0,-13957
3650,0,-13958
3660,0,-13958
3670,0,-13958
3680,0,-13958
3690,0,-13958
3700,0,-13958
3710,0,-13958
3720,0,-13958
3730,0,-13958
3740,0,-13958
3750,0,-13958
3760,0,-13958
3770,0,-13958
3780,0,-13958
3790,0,-13958
3800,0,-13958
3810,0,-13958
3820,0,-13958
3830,0,-13958
3840,0,-13958
3850,0,-13958
3860,0,-13958
3870,0,-13958
3880,0,-13958
3890,0,-13958
3900,0,-13958
3910,0,-13958
3920,0,-13958
3930,0,-13958
3940,0,-13958
3950,0,-13958
3960,0,-13958
3970,0,-13958
3980,0,-13958
3990,0,-13958
4000,150,-13958
4011,150,-13961
4020,150,-13971
4030,150,-13987
4040,150,-14008
4050,150,-14031
4060,150,-14055
4070,150,-14084
4080,150,-14116
4090,150,-14149
4100,150,-14181
4110,150,-14217
4120,150,-14255
4130,150,-14295
4140,150,-14331
4150,150,-14373
4160,150,-14415
4170,150,-14459
4180,150,-14503
4190,150,-14544
4200,150,-14590
4210,150,-14636
4220,150,-14683
4230,150,-14726
4240,150,-14774
4250,150,-14822
4260,150,-14871
4270,150,-14916
4280,150,-14965
4290,150,-15015
4300,150,-15066
4310,150,-15111
4320,150,-15163
4330,150,-15214
4340,150,-15265
4350,150,-15317
4360,150,-15364
4370,150,-15416
4380,150,-15468
4390,150,-15520
4400,150,-15568
4410,150,-15620
4420,150,-15673
4430,150,-15726
4440,150,-15774
4450,150,-15828
4460,150,-15881
4470,150,-15935
4480,150,-15983
4490,150,-16036
4500,150,-16090
4510,150,-16144
4520,150,-16198
4530,150,-16246
4540,150,-16300
4550,150,-16354
4560,150,-16408
4570,150,-16457
4580,150,-16511
4590,150,-16565
4600,150,-16620
4610,150,-16669
4620,150,-16723
4630,150,-16777
4640,150,-16832
4651,150,-16886
4660,150,-16935
4670,150,-16990
4680,150,-17044
4690,150,-17099
4700,150,-17148
4710,150,-17202
4720,150,-17257
4730,150,-17312
4740,150,-17361
4750,150,-17415
4760,150,-17470
4770,150,-17525
4780,150,-17574
4790,150,-17629
4800,150,-17683
4810,150,-17738
4820,150,-17793
4830,150,-17842
4840,150,-17897
4850,150,-17952
4860,150,-18006
4870,150,-18056
4880,150,-18110
4890,150,-18165
4900,150,-18220
4910,150,-18269
4920,150,-18324
4930,150,-18379
4940,150,-18434
4950,150,-18483
4960,150,-18538
4970,150,-18593
4980,150,-18647
4990,150,-18702
5000,150,-18752
5010,150,-18806
5020,150,-18861
5030,150,-18916
5040,150,-18965
5050,150,-19020
5060,150,-19075
5070,150,-19130
5080,150,-19179
5090,150,-19234
5100,150,-19289
5110,150,-19344
5120,150,-19393
5130,150,-19448
5140,150,-19503
5150,150,-19557
5160,150,-19612
5170,150,-19662
5180,150,-19716
5190,150,-19771
